Sr. No.,Name of the ARN Holder ,Gross Amount paid,Gross Inflows,Net Inflows,Average Assets under Management for FY 2018-19,Ratio of AUM to Gross inflows
341,HCL Global Processing Services Ltd,159.94,2321327.72,-150477.70,190784.58,0.04
342,HDFC Bank Limited,49667.22,13679058.98,243050.64,7294388.64,0.54
343,HDFC Securities Ltd,4848.42,415580.19,153224.27,461627.36,1.26
344,HEDGE FINANCE LTD,176.39,30618.76,-1143.74,22606.49,0.65
345,HEMANT FINSERVE LLP,176.00,3815.61,715.59,13315.63,3.60
346,Hemant Satyavan Shah,88.21,10835.21,2035.43,13487.61,1.34
347,Hemant Suryakant Powale,184.04,7112.78,3501.59,14663.00,2.29
348,Hexagon Capital Advisors Private Limited,178.48,29171.73,2951.93,28743.78,0.96
349,Hexagon Wealth Advisors,334.14,15966.48,-368.57,32656.11,1.98
350,HFI WEALTH CREATORS PVT LTD,371.11,32460.64,16562.76,47605.91,1.79
351,HM Mercantiles Pvt. Ltd,980.94,30931.33,-6670.62,113556.47,3.68
352,Holistic Investment Planners Pvt. Ltd.,86.10,3935.11,1548.63,11068.73,3.16
353,Hongkong & Shanghai Banking Corporation Ltd.,11364.47,856018.54,207873.11,1810677.52,2.11
354,I CAN Financial Solutions Pvt. Ltd.,428.76,21747.85,9302.70,37646.61,1.95
355,I2 ADVISORS,76.69,5645.62,3436.91,8263.45,2.10
356,ICICI Bank Limited,35525.62,2314249.28,73892.02,4180324.88,1.80
357,ICICI Securities Limited,31885.25,1779145.82,265911.21,3451032.62,2.05
358,ICOACH FINANCIAL CONSULTANCY PRIVATE LIMITED,96.24,7494.49,5135.09,10067.13,1.67
359,IDBI Bank Ltd,3119.50,930671.22,38954.03,460857.79,0.44
360,IDFC FIRST BANK LIMITED,373.89,67707.91,6961.91,61857.14,1.11
361,IFAN FINSERV PRIVATE LIMITED,336.28,96675.46,-27191.23,65254.47,0.42
362,Ifast Financial India Pvt Ltd,1271.96,65693.25,-23086.33,177536.74,2.68
363,IIFL SECURITIES LIMITED,2656.03,249423.18,63722.60,315313.96,1.31
364,IIFL WEALTH ADVISORS INDIA LIMITED,2285.86,743082.88,-62107.06,434996.03,0.49
365,IIFL Wealth Management Limited,17611.35,14461582.04,-359010.57,3056817.87,0.19
366,Immensus Wealth Management LLP,123.70,6274.12,745.01,14463.96,2.27
367,Imperial India Investment Company,132.74,5739.77,1547.63,13295.13,2.48
368,Imperial Investment Consultancy Services Pvt. Ltd.,309.36,29498.28,3821.19,34122.56,1.26
369,Imperial Prime Consultancy Private Limited,129.57,4986.53,2787.98,14291.30,3.25
370,Imperial Wealth Services,116.43,4351.72,-3658.50,19163.56,4.01
371,Indian Overseas Bank,65.05,9204.57,2177.80,12059.87,1.35
372,IndiaNivesh Securities Limited,135.23,27127.58,-6390.50,18520.55,0.53
373,Indira Jitendra Udani,127.16,30702.57,13228.19,21098.50,0.81
374,Indsec Securities And Finance Ltd.,778.04,8974.20,-207710.22,160052.30,7.10
375,Indus Capital,954.58,23196.08,3358.55,75775.72,3.69
376,Indus capital,114.02,1872.25,1074.88,6615.22,5.17
377,INDUS CAPITAL,29.27,3556.10,2388.19,9686.58,5.57
378,Indusind Bank Ltd,9494.48,237239.38,49409.02,679541.76,2.90
379,INFINITY CAPITAL,175.81,7390.16,2381.06,25008.25,3.64
380,Infinity Finserv (P) Ltd,272.98,8908.68,675.29,26473.01,3.04
381,Insoft Financial Services,98.30,3564.25,529.28,11126.89,3.27
382,Insynch Wealth Management LLP,153.12,7987.46,1873.40,20479.61,2.65
383,Integra Securities Private Limited,78.23,3978.97,628.61,11662.24,3.10
384,INTEGRA WEALTH PLANNERS LLP,106.94,4382.00,1868.72,12563.44,3.25
385,Integrated Enterprises (India) Pvt Ltd,2019.07,70515.87,28178.37,241722.67,3.63
386,International Money Matters Private Limited,382.20,11972.65,-20690.54,52547.85,3.38
387,Intrust Advisors LLP,461.40,20416.75,3747.17,51642.81,2.66
388,Invest & Prosper Financial Services,141.85,5135.12,1272.15,16902.51,3.44
389,Invest India Micro Pension Services Pvt Ltd,12.39,335.60,-3835.53,18189.11,49.94
390,Invest 'N' Gain Financial Services,241.08,10591.99,471.70,16041.01,1.02
391,Invest Search,99.34,5379.94,1326.55,10782.07,2.12
392,InvestAscent Wealth Advisors Pvt Ltd,286.51,21650.11,-9814.66,31465.79,1.03
393,Investmentadvisorindia.com,128.52,14300.16,-16035.32,14669.19,0.71
394,Investor Point,109.08,4141.07,2275.67,11182.24,2.97
395,Investor Shoppe Consultancy Private Limited,380.36,9870.43,2344.99,30797.96,3.09
396,INVESTPRO FINANCIAL SERVICES PRIVATE LIMITED,48.81,3386.49,1216.47,10207.58,5.46
397,Ipcon Associates,99.11,11423.10,4252.55,12075.59,1.33
398,Iqbal Singh,324.72,13954.22,333.91,32264.80,2.42
399,Ishwar Chandra Baid,62.29,7437.14,-280.65,7769.49,0.99
400,Ishwar Financial Services,229.01,7106.70,477.16,25375.68,3.67
401,ITI Securities Broking Limited,118.52,16441.80,-1005.95,18138.71,1.27
402,J R Laddha Financial Services (P) Ltd.,1186.85,150675.02,-42873.82,169294.84,1.02
403,Jackson Consultants,110.84,4339.92,389.38,10471.31,2.55
404,Jain Bros,80.99,5607.25,2876.57,12124.26,2.60
405,Jain Consultancy,469.08,154820.16,-7480.36,38134.35,0.18
406,Jain Investment Planner Pvt Ltd,1361.20,41633.93,14376.92,89572.35,2.27
407,Jainy Tejash Shah,163.49,8742.39,1766.62,25740.03,3.14
408,Jalan Financial Services,97.82,80549.78,38310.35,36504.56,0.64
409,Janak Dulari,112.27,4397.66,1878.52,10049.22,2.54
410,Janak Merchant Securities Pvt Ltd,67.69,84816.60,-586.10,20078.36,0.23
411,Japna Sharma,77.13,5252.38,258.66,4184.36,0.89
412,Jash Consultancy,121.14,5801.93,921.34,12486.41,2.33
413,Javahar Kuttypady,97.12,3613.09,1363.06,11951.71,3.60
414,Jayakumari Ishwarlal Shah,220.46,807.01,-990.36,19677.23,25.45
415,Jayanta Ghosh,74.97,9705.45,348.36,12312.20,1.38
416,Jayaprakash Polavarapu,74.04,3859.21,502.12,8245.50,2.22
417,Jayasha Share Consultants,189.83,8984.14,4446.22,17516.80,2.25
418,Jayesh Subhash Salvi,256.69,5415.08,2306.61,17844.03,3.42
419,Jayshree A Shah,75.37,1179.04,176.05,11598.92,10.26
420,Jennifer Maria Mendes,452.27,16865.91,3699.04,35306.26,2.26
421,Jerry John Kadampatt,125.44,2350.84,1900.16,8411.41,4.03
422,JHAVERI SECURITIES LTD,737.37,41102.17,14615.20,74046.41,1.90
423,Jignesh Lalitbhai Kapadia,89.89,2784.54,655.78,10733.74,4.10
424,Jignesh P.Shah,111.54,4987.38,3766.81,7727.43,1.78
425,Jignesh V Shah,144.34,4283.70,804.14,16262.98,4.10
426,Jiten Arjun Karnani,146.59,15961.06,3674.78,19343.15,1.33
427,Jitendra Jaiswal,107.61,7324.79,2180.44,13003.21,2.05
428,JK Securities Pvt. Ltd.,127.21,11588.45,2008.27,11805.58,1.07
429,JM Financial Services Limited,6223.37,5812213.11,-212574.00,1192629.72,0.19
430,Joseph Elias Menezes,100.67,3005.92,2082.50,10926.78,4.08
431,Joseph Pearl Stanley,101.74,2357.96,987.50,9664.25,4.42
432,Jugal Kishore Marwaha,97.70,633.02,-153.14,5957.47,8.77
433,Julius Baer Wealth Advisors (India) Private Limited,9056.35,1096279.23,16150.83,1383796.50,1.39
434,Jury Advisory Services Pvt Ltd,142.68,2969.37,478.55,15432.23,5.38
435,Jyotsna Amarish Shah,102.35,3727.59,1004.78,10298.00,2.91
436,K Arun Kumar,144.16,11320.54,672.71,14297.02,1.23
437,K Sarath Kumar,118.31,8693.99,1878.57,13888.23,1.70
438,K W Wealth Advisors Pvt Ltd,223.01,12731.52,1635.64,26622.44,2.15
439,Kaajal Suresh Thadani,180.98,8088.82,421.12,18090.84,2.30
440,Kailash Narain Datt,81.37,2304.54,-320.41,12839.81,5.74
441,Kalariya Ravi Keshavlal,102.75,4694.72,2245.17,10487.39,2.54
442,Kalyani Capital Services Pvt. Ltd.,239.78,12203.83,3745.35,26107.96,2.29
443,Kalyani Ketan Rachchha,155.75,5127.94,474.21,13478.66,2.69
444,Kanchan Hiralal Jain,119.74,10.93,-1187.03,10128.23,895.84
445,Kanga Financial Services Pvt Ltd,190.20,6537.11,1342.55,25921.29,4.17
446,KANGAROO ADVISORS,145.58,13549.22,6092.87,15936.45,1.41
447,Karan Agarwal,167.28,7926.10,2204.29,13299.70,1.87
448,Kartik Amrish Gandhi HUF,553.14,41919.59,13143.78,42410.83,1.15
449,Karvy Stock Broking Limited,8800.57,719645.92,103852.75,1017024.30,1.48
450,Kaushal Kumar Patel,59.17,3778.71,234.24,6427.94,1.98
451,Kaushik Nagindas Shah,66.68,4470.45,887.81,9232.59,2.30
452,Kaushikkumar Harmanbhai Patel,85.84,2718.13,1209.15,12058.15,4.78
453,kaveesha Investment Solution Pvt.Ltd.,105.75,3619.06,921.04,8583.84,2.59
454,Kedar Dattatraya Borgaonkar,76.50,2587.45,483.65,11611.17,4.60
455,Ketan Jayantilal Shah,72.84,5431.53,556.83,11032.34,2.06
456,Keval Jaysinh Gemani,78.82,5315.43,1839.87,11988.28,2.19
457,Keynote Consultancy,238.89,11124.40,-2397.63,18068.02,1.62
458,KFIC Securities Ltd,79.65,992.03,-211.39,11797.63,11.91
459,KINJAL INVESTMENT CONSULTANCY,239.52,69979.68,-1560.55,31458.83,0.43
460,Kirti Tejas Merchant,193.57,4602.02,-3846.69,19712.63,3.63
461,Kishore N.Kewalramani,251.16,9774.82,2229.31,19342.42,2.04
462,KMP Consulting,122.17,10545.17,1425.85,14723.79,1.46
463,KNS Consulting Pvt Ltd,920.86,238162.52,8736.62,223161.21,0.97
464,KONFIDO ADVISORS PRIVATE LIMITED,62.60,44289.43,15226.45,8198.46,0.37
465,Kooran Varghese Polson,379.57,23694.96,4410.35,41169.65,1.80
466,Kotak Mahindra Bank Limited,25500.71,3450356.09,-362798.75,3755479.95,1.08
467,Kotak Securities Ltd,861.88,117704.21,1640.52,128263.50,1.20
468,KPW Insurance & Investment Consultants (Pvt.)Ltd,173.50,10632.83,2311.84,16620.90,1.62
469,KREDERE WEALTH PARTNER PVT LTD,665.56,80440.52,-7828.76,103219.17,1.33
470,Krishan Murari Gupta,109.41,3551.55,643.65,11928.23,3.53
471,KRM FINANCIAL CONSULTANTS,86.38,9318.28,3105.87,2950.06,0.48
472,Krupa Enterprises,85.11,2341.90,72.13,11158.18,5.03
473,KRUSHNA FINSERV LLP,1464.05,23580.48,7689.03,97259.19,4.67
474,Kshitiz Agarwal,135.53,9248.36,3196.55,14652.84,1.85
475,Kukku Consultants Private Limited,455.54,14322.24,1582.61,35865.95,2.64
476,Kumaraswamy C.V,117.81,6357.91,-3595.98,13452.65,1.89
477,Kumud Ketan Dedhia,139.31,4788.01,1339.51,19367.33,4.27
478,Kuncham Investment & Financial Services,135.75,3797.66,-66.75,9061.93,2.37
479,Kurnala Umarani,57.78,16688.43,5881.78,9332.80,0.64
480,L & T CAPITAL MARKETS LIMITED,5248.86,36995301.01,245314.34,1004289.47,0.03
481,L&T Capital Company Ltd,115.60,221528.48,-29091.75,7491.45,0.02
482,LA CREME DE LA CREME SERVICES LLP,663.03,420225.17,73492.38,105145.55,0.29
483,LADCO CREST WEALTH MANAGEMENT SERVICES LLP,107.66,6937.66,1100.73,10844.76,1.64
484,Ladderup Wealth Management Pvt Ltd,393.14,34098.80,-3329.45,48964.93,1.51
485,Lakshmi Enterprises,81.20,2240.93,-24897.10,30876.09,5.27
486,Lakshminarayanan Kumaar.,85.43,3606.66,735.86,9905.68,2.89
487,Lalit Kumar,92.46,1792.86,124.89,12304.37,7.21
488,Lallit Tripathi,102.03,22401.81,-3522.31,17106.94,0.74
489,Laxmi Narayan Gupta,148.82,7535.56,2067.50,16653.48,2.41
490,Leader Care Finance,858.61,39579.91,427.94,162843.83,4.16
491,LICHFL Financial Services Ltd,417.84,42520560.67,192924.87,971560.49,0.02
492,LIFE PLUS,191.61,6694.05,2393.47,17569.42,2.86
493,LINTAS MONEY,200.37,121513.39,-54849.55,32681.51,0.09
494,LIVRICH WEALTH SOLUTIONS,101.42,9141.15,3374.40,12326.88,2.04
495,LKP Securities Limited,238.05,258734.23,24187.63,46795.94,0.21
496,Lotus Knowlwealth Private Limited,120.89,2319.14,280.06,12165.49,5.43
497,Lotus Mint Advisors Private Limited,132.61,14326.06,3983.57,13847.74,1.09
498,M D Saraf Securities Private Ltd.,270.04,13442.90,-6089.45,36359.34,2.76
499,M K Financials,111.20,12975.77,-3460.39,11820.53,0.76
500,M Venkateswaran,88.30,6062.96,3124.54,9158.57,1.79
501,M.Ramachandran,96.01,3426.02,523.38,11483.47,3.49
502,M/S ARWIND M SHAH,45.26,4732.51,787.44,10208.99,2.22
503,M/S Milestone Financial Consultants,147.69,5885.74,2781.78,14629.40,2.81
504,M/s Oracle Capital Advisory Service,117.97,38937.57,1409.43,17746.10,0.47
505,M/s V.R. INVESTMENTS,338.92,14053.26,2686.20,38284.12,3.01
506,Maarg Financial Planners Pvt Ltd,124.90,6475.21,1269.82,15084.90,2.44
507,Madhuvan Securities Private Limited,561.68,1271795.07,-11117.71,232489.14,0.19
508,Mahesh G Gattani,132.04,6798.30,1661.68,11238.31,1.78
509,Mahesh Sawaika,113.21,3432.37,1317.16,6611.45,2.16
510,Mahindra & Mahindra Financial Services Limited,326.06,7821702.39,-111647.63,180485.36,0.02
511,Mahodadhi Securities Pvt Ltd,89.62,5090.81,2876.41,7446.39,1.79
512,Mangal Deep Financial Services,125.46,3523.42,883.01,11941.63,3.57
513,Mangsidhesh Investments Pvt Ltd,505.11,10929.64,763.51,42937.60,4.01
514,Mani Sharma,176.62,8650.68,2450.97,17914.78,2.23
515,Manju Kumari,71.30,1316.78,603.09,9428.26,7.77
516,Manjula S,480.86,48946.39,9677.99,81654.87,1.65
517,Manjulaben Nagindas Hajariwala,138.91,11117.68,-2019.72,11207.78,0.87
518,Manoj D Shankar,227.52,9927.80,2418.79,29156.73,3.06
519,Manthan Shah.,67.93,4408.92,1897.98,9738.62,2.57
520,Manu Financial Services,161.27,5797.01,3405.11,18912.38,3.63
521,Marwadi Shares And Finance Limited,97.31,73980.29,16431.15,14865.21,0.29
522,MARWAHA CONSULTANTS PVT LTD,126.42,8417.49,1051.43,26508.92,4.34
523,MARWAHA HOLDINGS PRIVATE LIMITED,143.90,4365.00,1632.87,18931.14,6.73
524,Master Capital Services Ltd,218.60,65367.38,1086.17,41143.90,0.66
525,Mata Securities India Pvt. Ltd,793.29,8624629.14,-190098.05,470512.37,0.04
526,Megriar Advisors Private Limited,101.25,2621.38,-1769.68,12013.93,4.28
527,Mehul Hasmukhbhai Shah.,96.38,5270.49,-37.90,10238.03,2.05
528,Mentor Wealth Consultants Pvt Ltd,153.49,12889.43,1974.24,13748.75,1.17
529,MEPHEZALEA ADVISORS LLP,305.94,18507.02,1350.22,52471.90,2.76
530,Merchant Investment Consultancy Private Limited,374.12,9944.14,3067.10,40288.99,4.13
531,Meri Punji Imf Private Limited,149.86,11491.53,486.30,15496.85,1.42
532,MFA Consulting Pvt. Ltd.,1194.22,39271.70,14855.16,123270.12,3.49
533,MFA WEALTH SOLUTIONS PRIVATE LIMITED,177.04,13145.30,5916.92,16426.47,1.51
534,Michael Duarte,79.19,2977.96,1174.51,10671.62,3.82
535,MIDAS FINSERVE PRIVATE LIMITED,120.55,21115.43,7308.07,11949.12,0.78
536,Milestone Financial Advisory Pvt Ltd,521.11,30591.64,2795.32,47928.36,1.55
537,Milestone Portfolio Consultants Private Limited,118.03,7260.22,3175.02,12951.52,1.96
538,Milind Khasnis,137.16,4029.87,1303.38,13702.64,3.56
539,Millennium Finance Limited,440.46,19537.75,-12841.09,49159.75,2.21
540,Minesh R Dalal,96.17,4201.92,1413.84,11272.63,2.90
541,Mitul Pravinchandra Desai,137.49,53426.21,1625.14,12401.41,0.25
542,Mohit Beriwala,162.27,8779.21,2429.39,12788.36,1.80
543,Moksh Consulting,258.62,15385.03,4692.07,25627.77,1.85
544,MONETA GLOBAL ADVISORS,104.84,7268.50,1092.27,7963.11,1.16
545,Monetonic Financial Services Pvt. Ltd.,318.16,16595.27,6158.45,30113.97,2.06
546,MONEY BOLISM FINANCIAL SOLUTIONS PRIVATE LIMITED,150.80,7141.38,4066.87,20021.13,3.30
547,Money Honey Financial Services Pvt Ltd,515.22,26964.78,5159.09,53363.73,2.06
548,Money Options Services Pvt Ltd,164.03,3853.43,1185.73,18239.63,4.96
549,MONEY PLANT CONSULTANCY,112.13,6539.11,2848.35,9174.53,1.68
550,MONEYGAIN CONSULTANTS PRIVATE LIMITED,785.43,47876.45,5508.37,63018.88,1.44
551,MONEYMATICS FINANCIAL SERVICES LLP,479.42,19408.65,6021.75,41159.30,2.24
552,MONEYPLUS FINANCIAL AND CONSULTANCY SERVICES LLP,77.05,7186.14,1145.22,9787.57,1.53
553,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,463.63,163614.36,70667.36,112618.72,1.37
554,Motilal Oswal Securities Ltd.,1726.71,26512.54,13078.13,117299.61,0.43
555,Motilal Oswal Wealth Management Ltd,2712.48,417908.64,22382.53,415182.68,1.12
556,MPOWER FINANCIAL ADVISORS,144.83,3665.92,-7754.90,12337.76,2.71
557,Mridula Chadda,91.39,3441.79,448.03,10108.23,3.06
558,Mrigendra Kumar Mishra,92.09,4047.62,2016.13,10905.85,3.01
559,MSM WEALTH CREATORS,97.72,6926.36,3081.07,8264.05,1.56
560,MUDRA CONSULTANCY GROUP PRIVATE LIMITED,99.23,4855.78,304.84,9663.75,2.76
561,Mukesh Dokania,221.93,18796.60,1171.35,16434.85,0.89
562,Mukesh Kumar Vinodlal Shah,167.44,12683.10,-784.63,13179.27,1.05
563,Mukesh Kumar.M,200.40,4550.35,-963.62,23928.37,5.46
564,Mukesh P Mehta,201.31,4018.86,772.48,12056.96,3.18
565,Mukesh R Parikh,544.44,9079.54,-2003.26,53819.44,5.94
566,Mukul Pravin Kulkarni,139.08,148226.55,927.34,16848.44,0.11
567,Mukund Seshadri,239.91,15667.64,7381.37,27018.51,1.99
568,Muthoot Securities Ltd,1256.37,2225011.30,13824.42,127137.29,0.03
569,MUTUAL CAFE,239.08,7474.42,1377.55,13688.67,1.97
570,MUTUALFUNDWALA,333.66,25333.50,4040.00,29946.59,1.51
571,NAGDEV WEALTH PLANNING SERVICES LLP,156.95,2702.35,951.04,9709.43,4.11
572,Naik Wealth Planners Pvt Ltd,1286.69,40421.78,14961.23,95535.04,2.82
573,Nand Kishore Kothari,141.44,6764.91,3000.36,15548.05,2.56
574,Nandkishor Yeshwant Sinari,80.63,2892.98,1525.42,11629.03,4.38
575,NARAIN FORTUNE INVESTMENT LLP,96.37,2823.65,1637.49,8164.23,4.04
576,Narendra Shrikisan Agrawal,76.38,2317.28,218.26,6447.77,2.98
577,Naresh Popatrao Karpe,131.53,6359.46,538.89,16732.54,2.68
578,Narnolia Financial Advisors Limited,123.58,16244.20,1478.84,18800.60,1.87
579,Narnolia Securities Ltd,210.12,6098.72,1544.19,17938.12,1.56
580,Naveen Rego Wealth Managers Pvt. Ltd.,95.17,2129.99,8.42,8296.33,5.46
581,Navneet Kumar,429.58,16471.27,3056.89,33499.89,2.13
582,Nayan Balmukund Saraiya,316.84,8612.74,3473.53,23679.03,2.84
583,NDA Securities Limited,52.92,4371.83,757.45,10302.82,2.56
584,Neela Mehul Adalja,81.24,2037.69,1679.34,6091.36,3.54
585,Nestegg Wealth Solutions LLP,269.06,22732.44,5716.53,30543.80,1.54
586,Net Brokers Private Limited,166.80,10534.65,6147.31,18018.53,2.03
587,Networth Wealth Solutions Ltd,79.51,26184.04,1317.52,11997.24,0.46
588,Neville Mehli Poncha,121.43,12563.04,1213.58,13580.28,1.12
589,Niblick Capital Growth Private Limited,128.85,9661.87,2002.66,15211.25,1.68
590,Nikhil Jitendra Anandpara,124.76,6243.29,3909.73,10888.94,2.12
591,Nilgiri Financial Consultants Ltd,358.17,263167.26,165996.51,64143.60,0.78
592,Nilkanth K Nagarkar,189.61,7497.00,-5717.42,19228.47,1.92
593,Nimish Kantilal Unadkat,145.34,7318.86,1700.68,23297.36,3.33
594,Nirmal Bang Wealth Solutions Private Limited,363.42,263064.23,3556.91,44364.15,0.16
595,Nitin N Odhawani,146.49,5190.39,230.70,25308.70,5.18
596,NJ IndiaInvest Pvt Ltd,80767.19,2835659.90,1114871.14,6294656.10,2.44
597,NNP FUNDS,84.12,6683.07,4235.84,5932.17,1.57
598,Nonie Kapoor,392.20,27126.00,6826.15,59466.32,2.36
599,Nooney Madhava Siva Prasad,66.30,2667.25,404.23,7658.72,3.02
600,Nutan Lancelot Dcunha,93.48,6642.97,3409.49,9517.70,1.76
601,o3 Securities Pvt Ltd,46.56,70871.42,52194.38,12576.38,0.69
602,OCEAN CAPITAL MARKET LTD,660.87,97524.51,-46505.87,88252.66,0.62
603,Om Apex Investment Services Private Limited,307.87,14717.76,5185.49,24512.55,1.83
604,Om Enterprises,61.68,3778.86,1765.49,9979.60,2.93
605,Om Sanchay Insurance Agency,120.17,11792.15,227.01,7963.46,0.61
606,Om Spectrum Financial Consultants Pvt. Ltd.,324.22,20736.27,2379.48,46455.59,2.35
607,Om Web Tech Pvt Ltd,103.48,13219.09,4948.30,9097.46,0.91
608,OMEGA FINANCIAL,146.96,5214.35,1601.52,12447.86,2.56
609,Opulence Wealth Labs (P) Ltd,93.26,9130.89,1963.82,12320.92,1.50
610,ORANGE GLOBAL ADVISORY PVT LTD,190.25,20288.93,4047.97,15041.13,0.89
611,Oriental Bank Of Commerce,31.30,9449.24,3980.72,11572.59,1.34
612,Oswal Dhan Private Limited,358.89,10722.66,4667.83,38727.76,3.98
613,OUTLOOK ASIA CAPITAL,175.37,6544.81,2858.82,16957.21,2.93
614,Oxyzen Financial Advisory And Services Pvt Ltd,123.17,27856.35,-632.45,19958.32,0.72
615,P And M Consultants Pvt Ltd,251.21,6470.12,-122.19,19225.42,2.94
616,P K Martin,61.95,2333.27,-180.28,6251.44,2.50
617,P.H. Financial & Investment Consultants Pvt. Ltd.,318.54,1067855.34,-13662.62,67430.29,0.03
618,Pace Financial Advisors LLP,155.15,373695.05,36094.46,26095.50,0.10
619,Padam Singh Raj Purohit,252.59,2057.72,-9738.72,26896.90,9.65
620,Padmanaban B,145.69,12078.08,2101.27,12881.82,1.08
621,Paisabazaar Marketing And Consulting Private Limited,204.92,10607.79,-53238.93,42586.94,0.41
622,Palani Dhamodar,126.76,2869.96,-150.49,13821.96,5.01
623,Pallav Bagaria,235.31,3562.32,191.63,15004.50,0.07
624,Pankaj Sidana,104.40,10357.29,489.09,11312.57,1.10
625,Panna Rajendrakumar Parikh,102.51,1293.64,806.70,6171.24,5.06
626,Param Wealth Managers LLP,265.45,7753.66,1780.36,18628.43,2.67
627,PAREKH INVESTMENT SERVICES,89.60,10902.39,287.74,9417.98,0.92
628,Paresh Gopal Bhide,102.66,1419.62,781.89,7027.00,5.24
629,Paresh Shantilal Kariya,337.25,27709.19,1529.64,14041.54,0.01
630,Parimal Sadashivrao Ade,168.39,6125.64,1500.53,16385.01,2.85
631,Parita Sandeep Gandhi,54.62,1513.61,106.09,6290.17,7.03
632,Parth Shah,129.96,9776.70,2998.07,12301.61,1.37
633,Paterson Securities Pvt Ltd,178.56,9992.29,1947.72,29833.59,3.07
634,Pathik Shah,97.87,3936.81,580.01,11399.35,3.01
635,Pawan Gupta,50.90,1539.03,-1384.77,11937.36,7.67
636,Pawan Kumar Agrawal,153.61,7645.98,317.68,16070.13,2.11
637,Peakalpha Investment Services (P) Ltd.,547.11,42228.44,22267.45,63593.80,1.77
638,Peerless Financial Products Distribution LTD,71.46,1537.48,-815.80,5101.27,3.12
639,Pegasus Advisory Private Limited,161.18,27221.34,1749.38,27119.27,1.04
640,Pelican Wealth Managers Pvt. Ltd.,62.91,1083.10,-1581.05,11946.97,10.05
641,Pentagraph Partners,171.89,9797.26,4309.12,20899.86,2.40
642,Perfect Investments,99.06,3013.13,1711.58,9855.16,3.61
643,Pihas Mukesh Parikh,166.08,3101.02,968.31,13759.37,4.73
644,Pinakini Share & Stock Brokers Ltd,126.49,46491.07,-8447.08,37320.69,0.62
645,Pioneer Client Associates Private Limited,5932.60,324800.38,23426.63,631880.63,2.01
646,Pivotal Enterprises Private Limited,70.38,50261.55,-1448.44,17280.44,0.32
647,Plan Ahead Wealth Advisors Pvt. Ltd.,169.85,32922.54,2170.57,33102.19,0.96
648,PLC Securities Ltd,276.02,10338.54,-15664.75,54390.25,4.94
649,PMPK WEALTH ADVISORS PVT LTD,272.06,19925.12,8555.03,33233.78,2.02
650,Poddar Financial Services,173.24,38354.82,-350.19,23971.48,0.65
651,Pooja Aggarwal,69.55,2124.40,93.09,8295.60,4.10
652,Poornima Jain,174.08,449.97,-2494.32,15827.31,33.10
653,Porecha Global Securities Pvt Ltd,97.65,6578.61,1193.42,11387.84,1.91
654,Power Pusher Financial Services LLP,356.18,18214.50,2536.54,48095.66,2.80
655,Prabhudas Lilladher Pvt Ltd,153.60,90576.15,9239.63,36203.35,0.36
656,Prajakt Dilip Bhandare,77.40,12261.25,-373.07,15952.78,1.37
657,Prakala Wealth Management Private Ltd,190.50,8913.21,3940.05,16549.69,2.12
658,Prakash Hariram Lohana,139.41,8652.56,3101.68,16925.59,2.18
659,Prakash Investments,144.75,3784.64,1999.72,13231.22,3.79
660,Prakash Mahendra Thakkar,124.58,5224.34,1663.37,15726.01,3.12
661,Pranav Anant Gadgil,97.71,3689.99,1905.31,10625.40,3.15
662,Pranjal Apoorva Wagh,152.08,15456.21,5406.92,15118.41,1.11
663,Pranjit Gogoi,51.48,2064.83,1560.34,2761.55,1.64
664,Prasad R Sangam,117.37,6576.07,3035.93,15304.35,2.61
665,Prashant Murlidhar Bagad,100.66,3241.95,1122.08,12135.13,3.80
666,Praveen Mahabirprasad Dalmia,77.05,3321.56,1489.81,10824.89,3.70
667,Premin Securities,132.09,4063.77,325.91,13616.54,3.54
668,Prescient Financial Solutions,526.95,105223.59,-27.42,75452.48,0.72
669,Prime Gold Securities,112.02,1251.09,-57.24,9462.42,7.53
670,Prime Gold Wealth Management Services Pvt. Ltd.,122.79,7566.06,4724.46,10770.50,1.76
671,Prime Research & Advisory Limited,407.25,81598.84,-48756.06,28284.01,0.02
672,PRIME WEALTH SOLUTIONS,83.60,8188.19,-2499.09,18166.40,2.94
673,Priti Ajit Kucheria,242.06,15027.48,3965.84,26161.25,1.86
674,Priyanka Wealth Management Pvt Ltd,154.29,6003.34,3757.08,16360.91,3.10
675,PROAFFLUENCE ADVISORY SERVICES PRIVATE LIMITED,112.28,13761.55,8071.32,12913.54,1.40
676,Probin Agarwalla,139.50,5791.93,1441.78,11714.82,2.18
677,Profit Mantra,120.44,7413.59,1502.33,13713.72,2.09
678,PROINVEST WEALTH MANAGERS PVT LTD,196.21,8275.38,1547.67,22089.80,2.94
679,Prokens Opesmetrics Pvt Ltd,95.48,6044.07,2205.83,11598.30,2.16
680,PROLIFIC FINVEST PRIVATE LIMITED,136.84,1724344.77,-79251.66,195242.02,0.04
681,Prudent Bull Wealth Management Private Limited,108.37,6584.68,3920.87,8901.13,1.70
682,Prudent Corporate Advisory Services Ltd,23471.68,1137715.56,408126.43,1903333.67,1.88
683,PTIC (P) Ltd,400.29,12191.84,1266.76,34594.90,2.92
684,PUNISKA INDUSTRIES PVT LTD,140.43,70583.46,12916.64,23699.75,0.38
685,Punjab National Bank,421.87,353001.76,-22070.58,74008.42,0.16
