Sr. No.,Name of the ARN Holder ,Gross Amount paid,Gross Inflows,Net Inflows,Average Assets under Management for FY 2018-19,Ratio of AUM to Gross inflows
311,GEPL CAPITAL PRIVATE LIMITED,180.33,"24,188.56","5,883.02",33210.33,1.53
312,Ghalla Bhansali Stock Brokers Pvt Ltd,354.57,"16,204.27","1,651.86",42387.96,2.66
313,Girish Wani,99.74,"5,632.47","1,975.47",9490.48,1.89
314,Gitanjali Sutrave,197.67,"45,909.06","4,578.48",27020.86,0.55
315,Globe Capital Market Ltd,158.33,"30,169.04","7,165.57",22582.82,0.85
316,Goel Financial Consultants,92.48,"2,237.84",849.33,10839.79,5.27
317,Golkunda Commercial Private Limited,104.3,"7,086.58","-3,000.96",10826.75,1.34
318,Gopal Chulani,104.78,"1,681.60",106.12,7907.90,4.83
319,Gopi Kishan Agarwal,121.49,"4,629.10","1,206.50",14645.00,3.33
320,GOYAMA FINANCIAL SERVICES,213.49,"19,256.70","-10,429.96",29838.40,1.39
321,Great Fortune Investments and Infrastructures Pvt.Ltd.,201.91,"14,028.19",961.97,30706.00,2.18
322,Greenback Capital LLP,103.48,"30,626.91","12,927.27",19232.72,0.95
323,Grow More Investment,103.95,"3,518.90","1,961.82",11872.66,3.67
324,Grow Rich Fintech LLP,139.04,"4,123.70","2,573.73",7729.72,2.17
325,Growide Investment Consultancy Pvt. Ltd.,135.33,"16,340.50","2,852.70",19735.51,1.32
326,Growmore Financial Advisors,110.1,"5,315.26",-635.61,7677.69,1.51
327,GUARDIAN CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED,85.12,"6,471.73","3,260.82",9627.91,1.75
328,GUIDE AND GUARDIAN LLP,104.31,817.21,300.92,8262.81,11.38
329,Gunisetty Gnana Prasunamba,67.07,"1,143.11",688.71,5326.28,4.96
330,Gupta Capital Investment Centre,200.2,"4,734.49",998,21297.28,4.56
331,Gupta Investments,182.29,"13,710.39","3,511.07",23489.36,1.86
332,Hari Ghanashyam Kamat,552.51,"15,237.24","4,070.31",55864.13,3.95
333,Hari Mohan Gupta,384.91,"7,933.90",-133.19,37619.02,4.85
334,Harihar Finance Corporation,104.71,"1,210.35","-11,504.91",17876.86,11.47
335,Harish S Kotian,468.25,"9,088.23","2,391.34",40680.90,4.58
336,Harishchandra Jayram Pandya,101.33,82,40,12076.88,78.33
337,Harjindarkaur Wadhawan,67.34,"53,761.10","-4,685.77",8652.28,0.03
338,Harley Securities Pvt Ltd,399.53,"10,674.78","2,272.10",42404.41,4.33
339,Harsha Nandlal Parekh,123.14,"12,149.00",-276.83,17116.88,1.27
340,Harshvardhan B Sekhsaria,124.66,"7,533.96","2,486.52",13337.53,2.01
341,HCL Global Processing Services Ltd,159.94,"          23,21,327.72","          -1,50,477.70 ","           1,90,784.58 ",0.04
342,HDFC Bank Limited,"49,667.22","      1,36,79,058.98","            2,43,050.64","         72,94,388.64",0.54
343,HDFC Securities Ltd,"4,848.42","            4,15,580.19","            1,53,224.27","           4,61,627.36 ",1.26
344,HEDGE FINANCE LTD,176.39,"30,618.76","-1,143.74",22606.49,0.65
345,HEMANT FINSERVE LLP,176,"3,815.61",715.59,13315.63,3.6
346,Hemant Satyavan Shah,88.21,"10,835.21","2,035.43",13487.61,1.34
347,Hemant Suryakant Powale,184.04,"7,112.78","3,501.59",14663.00,2.29
348,Hexagon Capital Advisors Private Limited,178.48,"29,171.73","2,951.93",28743.78,0.96
349,Hexagon Wealth Advisors,334.14,"15,966.48",-368.57,32656.11,1.98
350,HFI WEALTH CREATORS PVT LTD,371.11,"32,460.64","16,562.76",47605.91,1.79
351,HM Mercantiles Pvt. Ltd,980.94,"30,931.33","-6,670.62","           1,13,556.47 ",3.68
352,Holistic Investment Planners Pvt. Ltd.,86.1,"3,935.11","1,548.63",11068.73,3.16
353,Hongkong & Shanghai Banking Corporation Ltd.,"11,364.47","            8,56,018.54","            2,07,873.11","         18,10,677.52",2.11
354,I CAN Financial Solutions Pvt. Ltd.,428.76,"21,747.85","9,302.70",37646.61,1.95
355,I2 ADVISORS,76.69,"5,645.62","3,436.91",8263.45,2.1
356,ICICI Bank Limited,"35,525.62","          23,14,249.28","73,892.02","         41,80,324.88",1.8
357,ICICI Securities Limited,"31,885.25","          17,79,145.82","            2,65,911.21","         34,51,032.62",2.05
358,ICOACH FINANCIAL CONSULTANCY PRIVATE LIMITED,96.24,"7,494.49","5,135.09",10067.13,1.67
359,IDBI Bank Ltd,"3,119.50","            9,30,671.22","38,954.03","           4,60,857.79 ",0.44
360,IDFC FIRST BANK LIMITED,373.89,"67,707.91","6,961.91",61857.14,1.11
361,IFAN FINSERV PRIVATE LIMITED,336.28,"96,675.46","-27,191.23",65254.47,0.42
362,Ifast Financial India Pvt Ltd,"1,271.96","65,693.25","-23,086.33","           1,77,536.74 ",2.68
363,IIFL SECURITIES LIMITED,"2,656.03","            2,49,423.18","63,722.60","           3,15,313.96 ",1.31
364,IIFL WEALTH ADVISORS INDIA LIMITED,"2,285.86","            7,43,082.88","-62,107.06","           4,34,996.03 ",0.49
365,IIFL Wealth Management Limited,"17,611.35","      1,44,61,582.04","          -3,59,010.57 ","         30,56,817.87",0.19
366,Immensus Wealth Management LLP,123.7,"6,274.12",745.01,14463.96,2.27
367,Imperial India Investment Company,132.74,"5,739.77","1,547.63",13295.13,2.48
368,Imperial Investment Consultancy Services Pvt. Ltd.,309.36,"29,498.28","3,821.19",34122.56,1.26
369,Imperial Prime Consultancy Private Limited,129.57,"4,986.53","2,787.98",14291.30,3.25
370,Imperial Wealth Services,116.43,"4,351.72","-3,658.50",19163.56,4.01
371,Indian Overseas Bank,65.05,"9,204.57","2,177.80",12059.87,1.35
372,IndiaNivesh Securities Limited,135.23,"27,127.58","-6,390.50",18520.55,0.53
373,Indira Jitendra Udani,127.16,"30,702.57","13,228.19",21098.50,0.81
374,Indsec Securities And Finance Ltd.,778.04,"8,974.20","          -2,07,710.22 ","           1,60,052.30 ",7.1
375,Indus Capital,954.58,"23,196.08","3,358.55",75775.72,3.69
376,Indus capital,114.02,"1,872.25","1,074.88",6615.22,5.17
377,INDUS CAPITAL,29.27,"3,556.10","2,388.19",9686.58,5.57
378,Indusind Bank Ltd,"9,494.48","            2,37,239.38","49,409.02","           6,79,541.76 ",2.9
379,INFINITY CAPITAL,175.81,"7,390.16","2,381.06",25008.25,3.64
380,Infinity Finserv (P) Ltd,272.98,"8,908.68",675.29,26473.01,3.04
381,Insoft Financial Services,98.3,"3,564.25",529.28,11126.89,3.27
382,Insynch Wealth Management LLP,153.12,"7,987.46","1,873.40",20479.61,2.65
383,Integra Securities Private Limited,78.23,"3,978.97",628.61,11662.24,3.1
384,INTEGRA WEALTH PLANNERS LLP,106.94,"4,382.00","1,868.72",12563.44,3.25
385,Integrated Enterprises (India) Pvt Ltd,"2,019.07","70,515.87","28,178.37","           2,41,722.67 ",3.63
386,International Money Matters Private Limited,382.2,"11,972.65","-20,690.54",52547.85,3.38
387,Intrust Advisors LLP,461.4,"20,416.75","3,747.17",51642.81,2.66
388,Invest & Prosper Financial Services,141.85,"5,135.12","1,272.15",16902.51,3.44
389,Invest India Micro Pension Services Pvt Ltd,12.39,335.6,"-3,835.53",18189.11,49.94
390,Invest 'N' Gain Financial Services,241.08,"10,591.99",471.7,16041.01,1.02
391,Invest Search,99.34,"5,379.94","1,326.55",10782.07,2.12
392,InvestAscent Wealth Advisors Pvt Ltd,286.51,"21,650.11","-9,814.66",31465.79,1.03
393,Investmentadvisorindia.com,128.52,"14,300.16","-16,035.32",14669.19,0.71
394,Investor Point,109.08,"4,141.07","2,275.67",11182.24,2.97
395,Investor Shoppe Consultancy Private Limited,380.36,"9,870.43","2,344.99",30797.96,3.09
396,INVESTPRO FINANCIAL SERVICES PRIVATE LIMITED,48.81,"3,386.49","1,216.47",10207.58,5.46
397,Ipcon Associates,99.11,"11,423.10","4,252.55",12075.59,1.33
398,Iqbal Singh,324.72,"13,954.22",333.91,32264.80,2.42
399,Ishwar Chandra Baid,62.29,"7,437.14",-280.65,7769.49,0.99
400,Ishwar Financial Services,229.01,"7,106.70",477.16,25375.68,3.67
401,ITI Securities Broking Limited,118.52,"16,441.80","-1,005.95",18138.71,1.27
402,J R Laddha Financial Services (P) Ltd.,"1,186.85","            1,50,675.02","-42,873.82","           1,69,294.84 ",1.02
403,Jackson Consultants,110.84,"4,339.92",389.38,10471.31,2.55
404,Jain Bros,80.99,"5,607.25","2,876.57",12124.26,2.6
405,Jain Consultancy,469.08,"            1,54,820.16","-7,480.36",38134.35,0.18
406,Jain Investment Planner Pvt Ltd,"1,361.20","41,633.93","14,376.92",89572.35,2.27
407,Jainy Tejash Shah,163.49,"8,742.39","1,766.62",25740.03,3.14
408,Jalan Financial Services,97.82,"80,549.78","38,310.35",36504.56,0.64
409,Janak Dulari,112.27,"4,397.66","1,878.52",10049.22,2.54
410,Janak Merchant Securities Pvt Ltd,67.69,"84,816.60",-586.1,20078.36,0.23
411,Japna Sharma,77.13,"5,252.38",258.66,4184.36,0.89
412,Jash Consultancy,121.14,"5,801.93",921.34,12486.41,2.33
413,Javahar Kuttypady,97.12,"3,613.09","1,363.06",11951.71,3.6
414,Jayakumari Ishwarlal Shah,220.46,807.01,-990.36,19677.23,25.45
415,Jayanta Ghosh,74.97,"9,705.45",348.36,12312.20,1.38
416,Jayaprakash Polavarapu,74.04,"3,859.21",502.12,8245.50,2.22
417,Jayasha Share Consultants,189.83,"8,984.14","4,446.22",17516.80,2.25
418,Jayesh Subhash Salvi,256.69,"5,415.08","2,306.61",17844.03,3.42
419,Jayshree A Shah,75.37,"1,179.04",176.05,11598.92,10.26
420,Jennifer Maria Mendes,452.27,"16,865.91","3,699.04",35306.26,2.26
421,Jerry John Kadampatt,125.44,"2,350.84","1,900.16",8411.41,4.03
422,JHAVERI SECURITIES LTD,737.37,"41,102.17","14,615.20",74046.41,1.9
423,Jignesh Lalitbhai Kapadia,89.89,"2,784.54",655.78,10733.74,4.1
424,Jignesh P.Shah,111.54,"4,987.38","3,766.81",7727.43,1.78
425,Jignesh V Shah,144.34,"4,283.70",804.14,16262.98,4.1
426,Jiten Arjun Karnani,146.59,"15,961.06","3,674.78",19343.15,1.33
427,Jitendra Jaiswal,107.61,"7,324.79","2,180.44",13003.21,2.05
428,JK Securities Pvt. Ltd.,127.21,"11,588.45","2,008.27",11805.58,1.07
429,JM Financial Services Limited,"6,223.37","          58,12,213.11","          -2,12,574.00 ","         11,92,629.72",0.19
430,Joseph Elias Menezes,100.67,"3,005.92","2,082.50",10926.78,4.08
431,Joseph Pearl Stanley,101.74,"2,357.96",987.5,9664.25,4.42
432,Jugal Kishore Marwaha,97.7,633.02,-153.14,5957.47,8.77
433,Julius Baer Wealth Advisors (India) Private Limited,"9,056.35","          10,96,279.23","16,150.83","         13,83,796.50",1.39
434,Jury Advisory Services Pvt Ltd,142.68,"2,969.37",478.55,15432.23,5.38
435,Jyotsna Amarish Shah,102.35,"3,727.59","1,004.78",10298.00,2.91
436,K Arun Kumar,144.16,"11,320.54",672.71,14297.02,1.23
437,K Sarath Kumar,118.31,"8,693.99","1,878.57",13888.23,1.7
438,K W Wealth Advisors Pvt Ltd,223.01,"12,731.52","1,635.64",26622.44,2.15
439,Kaajal Suresh Thadani,180.98,"8,088.82",421.12,18090.84,2.3
440,Kailash Narain Datt,81.37,"2,304.54",-320.41,12839.81,5.74
441,Kalariya Ravi Keshavlal,102.75,"4,694.72","2,245.17",10487.39,2.54
442,Kalyani Capital Services Pvt. Ltd.,239.78,"12,203.83","3,745.35",26107.96,2.29
443,Kalyani Ketan Rachchha,155.75,"5,127.94",474.21,13478.66,2.69
444,Kanchan Hiralal Jain,119.74,10.93,"-1,187.03",10128.23,895.84
445,Kanga Financial Services Pvt Ltd,190.2,"6,537.11","1,342.55",25921.29,4.17
446,KANGAROO ADVISORS,145.58,"13,549.22","6,092.87",15936.45,1.41
447,Karan Agarwal,167.28,"7,926.10","2,204.29",13299.70,1.87
448,Kartik Amrish Gandhi HUF,553.14,"41,919.59","13,143.78",42410.83,1.15
449,Karvy Stock Broking Limited,"8,800.57","            7,19,645.92","            1,03,852.75","         10,17,024.30",1.48
450,Kaushal Kumar Patel,59.17,"3,778.71",234.24,6427.94,1.98
451,Kaushik Nagindas Shah,66.68,"4,470.45",887.81,9232.59,2.3
452,Kaushikkumar Harmanbhai Patel,85.84,"2,718.13","1,209.15",12058.15,4.78
453,kaveesha Investment Solution Pvt.Ltd.,105.75,"3,619.06",921.04,8583.84,2.59
454,Kedar Dattatraya Borgaonkar,76.5,"2,587.45",483.65,11611.17,4.6
455,Ketan Jayantilal Shah,72.84,"5,431.53",556.83,11032.34,2.06
456,Keval Jaysinh Gemani,78.82,"5,315.43","1,839.87",11988.28,2.19
457,Keynote Consultancy,238.89,"11,124.40","-2,397.63",18068.02,1.62
458,KFIC Securities Ltd,79.65,992.03,-211.39,11797.63,11.91
459,KINJAL INVESTMENT CONSULTANCY,239.52,"69,979.68","-1,560.55",31458.83,0.43
460,Kirti Tejas Merchant,193.57,"4,602.02","-3,846.69",19712.63,3.63
461,Kishore N.Kewalramani,251.16,"9,774.82","2,229.31",19342.42,2.04
462,KMP Consulting,122.17,"10,545.17","1,425.85",14723.79,1.46
463,KNS Consulting Pvt Ltd,920.86,"            2,38,162.52","8,736.62","           2,23,161.21 ",0.97
464,KONFIDO ADVISORS PRIVATE LIMITED,62.6,"44,289.43","15,226.45",8198.46,0.37
465,Kooran Varghese Polson,379.57,"23,694.96","4,410.35",41169.65,1.8
466,Kotak Mahindra Bank Limited,"25,500.71","          34,50,356.09","          -3,62,798.75 ","         37,55,479.95",1.08
467,Kotak Securities Ltd,861.88,"            1,17,704.21","1,640.52","           1,28,263.50 ",1.2
468,KPW Insurance & Investment Consultants (Pvt.)Ltd,173.5,"10,632.83","2,311.84",16620.90,1.62
469,KREDERE WEALTH PARTNER PVT LTD,665.56,"80,440.52","-7,828.76","           1,03,219.17 ",1.33
470,Krishan Murari Gupta,109.41,"3,551.55",643.65,11928.23,3.53
471,KRM FINANCIAL CONSULTANTS,86.38,"9,318.28","3,105.87",2950.06,0.48
472,Krupa Enterprises,85.11,"2,341.90",72.13,11158.18,5.03
473,KRUSHNA FINSERV LLP,"1,464.05","23,580.48","7,689.03",97259.19,4.67
474,Kshitiz Agarwal,135.53,"9,248.36","3,196.55",14652.84,1.85
475,Kukku Consultants Private Limited,455.54,"14,322.24","1,582.61",35865.95,2.64
476,Kumaraswamy C.V,117.81,"6,357.91","-3,595.98",13452.65,1.89
477,Kumud Ketan Dedhia,139.31,"4,788.01","1,339.51",19367.33,4.27
478,Kuncham Investment & Financial Services,135.75,"3,797.66",-66.75,9061.93,2.37
479,Kurnala Umarani,57.78,"16,688.43","5,881.78",9332.80,0.64
480,L & T CAPITAL MARKETS LIMITED,"5,248.86","      3,69,95,301.01","            2,45,314.34","         10,04,289.47",0.03
481,L&T Capital Company Ltd,115.6,"            2,21,528.48","-29,091.75",7491.45,0.02
482,LA CREME DE LA CREME SERVICES LLP,663.03,"            4,20,225.17","73,492.38","           1,05,145.55 ",0.29
483,LADCO CREST WEALTH MANAGEMENT SERVICES LLP,107.66,"6,937.66","1,100.73",10844.76,1.64
484,Ladderup Wealth Management Pvt Ltd,393.14,"34,098.80","-3,329.45",48964.93,1.51
485,Lakshmi Enterprises,81.2,"2,240.93","-24,897.10",30876.09,5.27
486,Lakshminarayanan Kumaar.,85.43,"3,606.66",735.86,9905.68,2.89
487,Lalit Kumar,92.46,"1,792.86",124.89,12304.37,7.21
488,Lallit Tripathi,102.03,"22,401.81","-3,522.31",17106.94,0.74
489,Laxmi Narayan Gupta,148.82,"7,535.56","2,067.50",16653.48,2.41
490,Leader Care Finance,858.61,"39,579.91",427.94,"           1,62,843.83 ",4.16
491,LICHFL Financial Services Ltd,417.84,"      4,25,20,560.67","            1,92,924.87","           9,71,560.49 ",0.02
492,LIFE PLUS,191.61,"6,694.05","2,393.47",17569.42,2.86
493,LINTAS MONEY,200.37,"            1,21,513.39","-54,849.55",32681.51,0.09
494,LIVRICH WEALTH SOLUTIONS,101.42,"9,141.15","3,374.40",12326.88,2.04
495,LKP Securities Limited,238.05,"            2,58,734.23","24,187.63",46795.94,0.21
496,Lotus Knowlwealth Private Limited,120.89,"2,319.14",280.06,12165.49,5.43
497,Lotus Mint Advisors Private Limited,132.61,"14,326.06","3,983.57",13847.74,1.09
498,M D Saraf Securities Private Ltd.,270.04,"13,442.90","-6,089.45",36359.34,2.76
499,M K Financials,111.2,"12,975.77","-3,460.39",11820.53,0.76
500,M Venkateswaran,88.3,"6,062.96","3,124.54",9158.57,1.79
501,M.Ramachandran,96.01,"3,426.02",523.38,11483.47,3.49
502,M/S ARWIND M SHAH,45.26,"4,732.51",787.44,10208.99,2.22
503,M/S Milestone Financial Consultants,147.69,"5,885.74","2,781.78",14629.40,2.81
504,M/s Oracle Capital Advisory Service,117.97,"38,937.57","1,409.43",17746.10,0.47
505,M/s V.R. INVESTMENTS,338.92,"14,053.26","2,686.20",38284.12,3.01
506,Maarg Financial Planners Pvt Ltd,124.9,"6,475.21","1,269.82",15084.90,2.44
507,Madhuvan Securities Private Limited,561.68,"          12,71,795.07","-11,117.71","           2,32,489.14 ",0.19
508,Mahesh G Gattani,132.04,"6,798.30","1,661.68",11238.31,1.78
509,Mahesh Sawaika,113.21,"3,432.37","1,317.16",6611.45,2.16
510,Mahindra & Mahindra Financial Services Limited,326.06,"          78,21,702.39","          -1,11,647.63 ","           1,80,485.36 ",0.02
511,Mahodadhi Securities Pvt Ltd,89.62,"5,090.81","2,876.41",7446.39,1.79
512,Mangal Deep Financial Services,125.46,"3,523.42",883.01,11941.63,3.57
513,Mangsidhesh Investments Pvt Ltd,505.11,"10,929.64",763.51,42937.60,4.01
514,Mani Sharma,176.62,"8,650.68","2,450.97",17914.78,2.23
515,Manju Kumari,71.3,"1,316.78",603.09,9428.26,7.77
516,Manjula S,480.86,"48,946.39","9,677.99",81654.87,1.65
517,Manjulaben Nagindas Hajariwala,138.91,"11,117.68","-2,019.72",11207.78,0.87
518,Manoj D Shankar,227.52,"9,927.80","2,418.79",29156.73,3.06
519,Manthan Shah.,67.93,"4,408.92","1,897.98",9738.62,2.57
520,Manu Financial Services,161.27,"5,797.01","3,405.11",18912.38,3.63
521,Marwadi Shares And Finance Limited,97.31,"73,980.29","16,431.15",14865.21,0.29
522,MARWAHA CONSULTANTS PVT LTD,126.42,"8,417.49","1,051.43",26508.92,4.34
523,MARWAHA HOLDINGS PRIVATE LIMITED,143.9,"4,365.00","1,632.87",18931.14,6.73
524,Master Capital Services Ltd,218.6,"65,367.38","1,086.17",41143.90,0.66
525,Mata Securities India Pvt. Ltd,793.29,"          86,24,629.14","          -1,90,098.05 ","           4,70,512.37 ",0.04
526,Megriar Advisors Private Limited,101.25,"2,621.38","-1,769.68",12013.93,4.28
527,Mehul Hasmukhbhai Shah.,96.38,"5,270.49",-37.9,10238.03,2.05
528,Mentor Wealth Consultants Pvt Ltd,153.49,"12,889.43","1,974.24",13748.75,1.17
529,MEPHEZALEA ADVISORS LLP,305.94,"18,507.02","1,350.22",52471.90,2.76
530,Merchant Investment Consultancy Private Limited,374.12,"9,944.14","3,067.10",40288.99,4.13
531,Meri Punji Imf Private Limited,149.86,"11,491.53",486.3,15496.85,1.42
532,MFA Consulting Pvt. Ltd.,"1,194.22","39,271.70","14,855.16","           1,23,270.12 ",3.49
533,MFA WEALTH SOLUTIONS PRIVATE LIMITED,177.04,"13,145.30","5,916.92",16426.47,1.51
534,Michael Duarte,79.19,"2,977.96","1,174.51",10671.62,3.82
535,MIDAS FINSERVE PRIVATE LIMITED,120.55,"21,115.43","7,308.07",11949.12,0.78
536,Milestone Financial Advisory Pvt Ltd,521.11,"30,591.64","2,795.32",47928.36,1.55
537,Milestone Portfolio Consultants Private Limited,118.03,"7,260.22","3,175.02",12951.52,1.96
538,Milind Khasnis,137.16,"4,029.87","1,303.38",13702.64,3.56
539,Millennium Finance Limited,440.46,"19,537.75","-12,841.09",49159.75,2.21
540,Minesh R Dalal,96.17,"4,201.92","1,413.84",11272.63,2.9
541,Mitul Pravinchandra Desai,137.49,"53,426.21","1,625.14",12401.41,0.25
542,Mohit Beriwala,162.27,"8,779.21","2,429.39",12788.36,1.8
543,Moksh Consulting,258.62,"15,385.03","4,692.07",25627.77,1.85
544,MONETA GLOBAL ADVISORS,104.84,"7,268.50","1,092.27",7963.11,1.16
545,Monetonic Financial Services Pvt. Ltd.,318.16,"16,595.27","6,158.45",30113.97,2.06
546,MONEY BOLISM FINANCIAL SOLUTIONS PRIVATE LIMITED,150.8,"7,141.38","4,066.87",20021.13,3.3
547,Money Honey Financial Services Pvt Ltd,515.22,"26,964.78","5,159.09",53363.73,2.06
548,Money Options Services Pvt Ltd,164.03,"3,853.43","1,185.73",18239.63,4.96
549,MONEY PLANT CONSULTANCY,112.13,"6,539.11","2,848.35",9174.53,1.68
550,MONEYGAIN CONSULTANTS PRIVATE LIMITED,785.43,"47,876.45","5,508.37",63018.88,1.44
551,MONEYMATICS FINANCIAL SERVICES LLP,479.42,"19,408.65","6,021.75",41159.30,2.24
552,MONEYPLUS FINANCIAL AND CONSULTANCY SERVICES LLP,77.05,"7,186.14","1,145.22",9787.57,1.53
553,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,463.63,"            1,63,614.36","70,667.36","           1,12,618.72 ",1.37
554,Motilal Oswal Securities Ltd.,"1,726.71","26,512.54","13,078.13","           1,17,299.61 ",0.43
555,Motilal Oswal Wealth Management Ltd,"2,712.48","            4,17,908.64","22,382.53","           4,15,182.68 ",1.12
556,MPOWER FINANCIAL ADVISORS,144.83,"3,665.92","-7,754.90",12337.76,2.71
557,Mridula Chadda,91.39,"3,441.79",448.03,10108.23,3.06
558,Mrigendra Kumar Mishra,92.09,"4,047.62","2,016.13",10905.85,3.01
559,MSM WEALTH CREATORS,97.72,"6,926.36","3,081.07",8264.05,1.56
560,MUDRA CONSULTANCY GROUP PRIVATE LIMITED,99.23,"4,855.78",304.84,9663.75,2.76
561,Mukesh Dokania,221.93,"18,796.60","1,171.35",16434.85,0.89
562,Mukesh Kumar Vinodlal Shah,167.44,"12,683.10",-784.63,13179.27,1.05
563,Mukesh Kumar.M,200.4,"4,550.35",-963.62,23928.37,5.46
564,Mukesh P Mehta,201.31,"4,018.86",772.48,12056.96,3.18
565,Mukesh R Parikh,544.44,"9,079.54","-2,003.26",53819.44,5.94
566,Mukul Pravin Kulkarni,139.08,"            1,48,226.55",927.34,16848.44,0.11
567,Mukund Seshadri,239.91,"15,667.64","7,381.37",27018.51,1.99
568,Muthoot Securities Ltd,"1,256.37","          22,25,011.30","13,824.42","           1,27,137.29 ",0.03
569,MUTUAL CAFE,239.08,"7,474.42","1,377.55",13688.67,1.97
570,MUTUALFUNDWALA,333.66,"25,333.50","4,040.00",29946.59,1.51
571,NAGDEV WEALTH PLANNING SERVICES LLP,156.95,"2,702.35",951.04,9709.43,4.11
572,Naik Wealth Planners Pvt Ltd,"1,286.69","40,421.78","14,961.23",95535.04,2.82
573,Nand Kishore Kothari,141.44,"6,764.91","3,000.36",15548.05,2.56
574,Nandkishor Yeshwant Sinari,80.63,"2,892.98","1,525.42",11629.03,4.38
575,NARAIN FORTUNE INVESTMENT LLP,96.37,"2,823.65","1,637.49",8164.23,4.04
576,Narendra Shrikisan Agrawal,76.38,"2,317.28",218.26,6447.77,2.98
577,Naresh Popatrao Karpe,131.53,"6,359.46",538.89,16732.54,2.68
578,Narnolia Financial Advisors Limited,123.58,"16,244.20","1,478.84",18800.60,1.87
579,Narnolia Securities Ltd,210.12,"6,098.72","1,544.19",17938.12,1.56
580,Naveen Rego Wealth Managers Pvt. Ltd.,95.17,"2,129.99",8.42,8296.33,5.46
581,"Navneet Kumar,",429.58,"16,471.27","3,056.89",33499.89,2.13
582,Nayan Balmukund Saraiya,316.84,"8,612.74","3,473.53",23679.03,2.84
583,NDA Securities Limited,52.92,"4,371.83",757.45,10302.82,2.56
584,Neela Mehul Adalja,81.24,"2,037.69","1,679.34",6091.36,3.54
585,Nestegg Wealth Solutions LLP,269.06,"22,732.44","5,716.53",30543.80,1.54
586,Net Brokers Private Limited,166.8,"10,534.65","6,147.31",18018.53,2.03
587,Networth Wealth Solutions Ltd,79.51,"26,184.04","1,317.52",11997.24,0.46
588,Neville Mehli Poncha,121.43,"12,563.04","1,213.58",13580.28,1.12
589,Niblick Capital Growth Private Limited,128.85,"9,661.87","2,002.66",15211.25,1.68
590,Nikhil Jitendra Anandpara,124.76,"6,243.29","3,909.73",10888.94,2.12
591,Nilgiri Financial Consultants Ltd,358.17,"            2,63,167.26","            1,65,996.51",64143.60,0.78
592,Nilkanth K Nagarkar,189.61,"7,497.00","-5,717.42",19228.47,1.92
593,Nimish Kantilal Unadkat,145.34,"7,318.86","1,700.68",23297.36,3.33
594,Nirmal Bang Wealth Solutions Private Limited,363.42,"            2,63,064.23","3,556.91",44364.15,0.16
595,Nitin N Odhawani,146.49,"5,190.39",230.7,25308.70,5.18
596,NJ IndiaInvest Pvt Ltd,"80,767.19","          28,35,659.90","          11,14,871.14","         62,94,656.10",2.44
597,NNP FUNDS,84.12,"6,683.07","4,235.84",5932.17,1.57
598,Nonie Kapoor,392.2,"27,126.00","6,826.15",59466.32,2.36
599,Nooney Madhava Siva Prasad,66.3,"2,667.25",404.23,7658.72,3.02
600,Nutan Lancelot Dcunha,93.48,"6,642.97","3,409.49",9517.70,1.76
601,o3 Securities Pvt Ltd,46.56,"70,871.42","52,194.38",12576.38,0.69
602,OCEAN CAPITAL MARKET LTD,660.87,"97,524.51","-46,505.87",88252.66,0.62
603,Om Apex Investment Services Private Limited,307.87,"14,717.76","5,185.49",24512.55,1.83
604,Om Enterprises,61.68,"3,778.86","1,765.49",9979.60,2.93
605,Om Sanchay Insurance Agency,120.17,"11,792.15",227.01,7963.46,0.61
606,Om Spectrum Financial Consultants Pvt. Ltd.,324.22,"20,736.27","2,379.48",46455.59,2.35
607,Om Web Tech Pvt Ltd,103.48,"13,219.09","4,948.30",9097.46,0.91
608,OMEGA FINANCIAL,146.96,"5,214.35","1,601.52",12447.86,2.56
609,Opulence Wealth Labs (P) Ltd,93.26,"9,130.89","1,963.82",12320.92,1.5
610,ORANGE GLOBAL ADVISORY PVT LTD,190.25,"20,288.93","4,047.97",15041.13,0.89
611,Oriental Bank Of Commerce,31.3,"9,449.24","3,980.72",11572.59,1.34
612,Oswal Dhan Private Limited,358.89,"10,722.66","4,667.83",38727.76,3.98
613,OUTLOOK ASIA CAPITAL,175.37,"6,544.81","2,858.82",16957.21,2.93
614,Oxyzen Financial Advisory And Services Pvt Ltd,123.17,"27,856.35",-632.45,19958.32,0.72
615,P And M Consultants Pvt Ltd,251.21,"6,470.12",-122.19,19225.42,2.94
616,P K Martin,61.95,"2,333.27",-180.28,6251.44,2.5
617,P.H. Financial & Investment Consultants Pvt. Ltd.,318.54,"          10,67,855.34","-13,662.62",67430.29,0.03
618,Pace Financial Advisors LLP,155.15,"            3,73,695.05","36,094.46",26095.50,0.1
619,Padam Singh Raj Purohit,252.59,"2,057.72","-9,738.72",26896.90,9.65
620,Padmanaban B,145.69,"12,078.08","2,101.27",12881.82,1.08
621,Paisabazaar Marketing And Consulting Private Limited,204.92,"10,607.79","-53,238.93",42586.94,0.41
622,Palani Dhamodar,126.76,"2,869.96",-150.49,13821.96,5.01
623,Pallav Bagaria,235.31,"3,562.32",191.63,15004.50,0.07
624,Pankaj Sidana,104.4,"10,357.29",489.09,11312.57,1.1
625,Panna Rajendrakumar Parikh,102.51,"1,293.64",806.7,6171.24,5.06
